Price,Close,High,Low,Open,Volume
Ticker,LT.NS,LT.NS,LT.NS,LT.NS,LT.NS
Date,,,,,
2005-04-06,87.67760467529297,90.24378050490601,87.3397253765536,88.26782740677126,2365677
2005-04-07,85.86418151855469,89.81608790630872,85.11143884315062,89.81608790630872,2419137
2005-04-08,84.13200378417969,86.60836177921158,83.40064663411296,86.60836177921158,3147795
2005-04-11,81.90799713134766,84.9232495421244,81.27500351557366,84.4271203633025,3226464
2005-04-12,82.80189514160156,83.22959217945127,81.6043457850252,82.57521300972796,2161359
2005-04-13,82.60084533691406,84.17049256185196,82.27579969635124,83.32365061001974,1998720
2005-04-15,81.4503402709961,83.5888127313046,80.32977548612256,82.5452378417578,2701530
2005-04-18,82.22877502441406,83.40066293181357,79.3931517681646,81.00556441647247,2978091
2005-04-19,80.57785034179688,84.6751783000408,79.46584306963683,83.2894421849762,2778354
2005-04-20,81.3177719116211,82.53670644945991,80.11167098401485,82.53670644945991,1995633
2005-04-21,83.22956085205078,83.82832943145688,80.57784373958656,83.82832943145688,1769472
2005-04-22,84.89331817626953,85.36805607917921,83.22958287598496,84.89759408893879,1422558
2005-04-25,85.1285400390625,85.51346612738394,78.69599962643763,85.51346612738394,1110996
2005-04-26,83.45195770263672,85.28249415235742,82.72059478091828,85.28249415235742,1578690
2005-04-27,82.78477478027344,84.68374397615429,82.20310970421208,84.68374397615429,942381
2005-04-28,83.07987213134766,83.91388054722097,82.88740910256963,83.91388054722097,762453
2005-04-29,82.68213653564453,84.15340887691056,82.28865269394663,84.15340887691056,967383
2005-05-02,82.8275375366211,83.63160285000005,82.28863751275036,83.63160285000005,506826
2005-05-03,82.93017578125,83.82833457901633,82.37417215658465,83.39208585228683,396270
2005-05-04,85.27394104003906,85.49634717791741,82.95583310023228,82.96438492341801,1557720
2005-05-05,88.35336303710938,89.30285049967107,84.94035688712013,85.29533983400923,2923506
2005-05-06,86.5356674194336,88.69553191750555,85.88129420105409,87.24136333648917,1920438
2005-05-09,87.48086547851562,88.09674955542597,85.45358969173665,87.16437161553603,2325069
2005-05-10,86.95478820800781,88.01975453623723,86.30897282580902,88.01975453623723,2098827
2005-05-11,85.70164489746094,86.9077457400573,85.4963541362558,86.39451296353907,2537415
2005-05-12,86.82222747802734,87.25847630751343,85.79575584343813,85.96683347028522,856908
2005-05-13,87.34400177001953,87.67759926238374,85.97965104896403,86.56559195848835,950436
2005-05-16,88.18228149414062,89.13176891430147,87.24990946927812,87.24990946927812,1212354
2005-05-17,87.78025817871094,88.96069779830202,87.33545169423135,88.74684931758189,1291545
2005-05-18,88.15660095214844,88.87513022891736,86.65539198449129,86.99327119366788,1338984
2005-05-19,89.31566619873047,90.10690368638903,87.93421193422161,88.68695446969208,3558321
2005-05-20,92.12564086914062,92.97675886557563,89.5594708899094,89.98716197077732,3076425
2005-05-23,92.46351623535156,94.7773544280967,91.53542010977964,91.95455934818217,2250126
2005-05-24,92.46781158447266,93.57126138379961,91.55253718753161,93.23338204683566,1266948
2005-05-25,92.3523178100586,92.80995199862352,91.63806428846934,92.80139430096916,998622
2005-05-26,94.51644897460938,95.11949935756486,92.55332389112351,92.55332389112351,3404466
2005-05-27,93.72093200683594,97.07833895625457,92.85698643644047,95.97488360647215,3807153
2005-05-30,90.5132064819336,94.07163394317578,90.0726818973077,92.72439297462631,3343500
2005-05-31,89.64501190185547,91.73644413780526,88.40469771119061,89.82892312990334,4203567
2005-06-01,89.9187240600586,90.5816489679073,88.01975523053821,89.80324507494147,1210977
2005-06-02,92.74150848388672,93.62256358355484,90.24376529223,90.62013948500179,2861487
2005-06-03,95.17511749267578,95.71829347675178,91.95456829516522,92.38226527294877,3543228
2005-06-06,94.14435577392578,95.63273727253166,93.6738938683007,94.00749722559222,2453643
2005-06-07,94.71322631835938,95.42748006195998,94.17860792576349,94.93562667690612,1394739
2005-06-08,94.50363159179688,95.80382613168159,94.0930441514915,95.03397394692075,906372
2005-06-09,97.00138092041016,98.37000775884788,94.60628248476756,94.60628248476756,5766993
2005-06-10,94.18284606933594,97.5145918185373,94.09302842985284,96.06042943407317,2470374
2005-06-13,98.35717010498047,98.79769481312483,94.10587936669928,94.68326851511432,3212190
2005-06-14,97.6086654663086,98.71212651172598,96.50521029439506,98.33574651028142,3768327
2005-06-15,97.6557388305664,98.36999233662839,96.83028811896551,97.60869205175979,1699578
2005-06-16,96.38118743896484,97.77119923195644,95.78241303777608,97.21947160062909,1341738
2005-06-17,95.40605163574219,98.1133614331716,94.34964306673118,97.07406238357308,2667564
2005-06-20,94.12725830078125,97.0355894593298,94.09304512769504,95.80382712563427,1452222
2005-06-21,94.4266357421875,95.8893558850555,94.14435507679949,94.25555815290834,1416465
2005-06-22,97.05696868896484,97.5146028882024,94.69181365312603,94.86289125463014,3412197
2005-06-23,95.52153778076172,97.08690924634514,94.8628887387637,96.91582577587262,2725830
2005-06-24,97.24087524414062,97.85675927886854,94.17001864145067,95.5514788708664,2776968
2005-06-27,98.20745849609375,100.16630765005618,95.29057607031022,96.31704742223174,6784875
2005-06-28,96.1331558227539,98.19892668242056,95.20505374322751,97.51461035053093,2323620
2005-06-29,97.15962219238281,97.83109900387765,95.39751169653712,96.82601880601888,1310517
2005-06-30,96.85166931152344,98.36998802929092,96.4881287064387,97.8567552703781,1514160
2005-07-01,101.17568969726562,101.9626455465876,96.8388513334952,96.8388513334952,4668354
2005-07-04,100.05511474609375,100.93617587630884,99.74290266499224,100.93617587630884,2294316
2005-07-05,101.23554992675781,101.79155943537761,99.83271016657686,99.9952300590757,2409840
2005-07-06,103.15589904785156,103.58787184914961,99.22537297250499,99.22537297250499,2161764
2005-07-07,102.59564208984375,104.78544983190503,101.19280201149823,103.07466179923132,3018051
2005-07-08,104.74266052246094,105.55528352026404,102.39033326503328,102.65122263806491,1658862
2005-07-11,106.66728973388672,106.92390319214256,104.03268182341931,104.44327510363978,2123262
2005-07-12,106.96665954589844,108.1984274724161,102.64693172714988,106.06849494335393,2316141
2005-07-13,108.05728912353516,108.5020896479418,105.1275731434072,106.17970581920297,1809306
2005-07-14,106.0257568359375,108.12145899442534,105.64083075100996,108.12145899442534,1522683
2005-07-15,107.8819351196289,108.19843481920006,106.06850214551328,106.49619904495604,875844
2005-07-18,110.25566101074219,111.20087261578628,107.43715333967623,108.12146379951216,2131200
2005-07-19,110.1744155883789,111.02980960393447,109.16932938215311,109.91779033550425,2374632
2005-07-20,110.8244857788086,111.92794126271745,109.66115577952758,110.34546616180923,1769733
2005-07-21,106.739990234375,111.45747235888966,106.4962045162793,110.862979629097,1138833
2005-07-22,107.54833221435547,108.58336129959672,106.75710058269608,107.67664480881797,1411434
2005-07-25,106.37644958496094,107.95037275880924,104.89234405179812,107.95037275880924,3519738
2005-07-26,105.33718872070312,106.48769139053903,104.81967396555078,106.48769139053903,1754244
2005-07-27,105.1233139038086,105.64082850067902,104.35773766258194,105.64082850067902,534636
2005-07-28,105.1233139038086,105.1233139038086,105.1233139038086,105.1233139038086,0
2005-07-29,108.4636001586914,109.66114912855826,104.8709649961012,105.21312016649026,4967784
2005-08-01,107.07786560058594,108.9768403322197,106.33368073752035,108.63468515698155,880920
2005-08-02,106.83836364746094,109.49008700751865,106.1626050710235,107.77929925870869,1084554
2005-08-03,110.4609146118164,111.62852013819794,106.92386725372823,107.36011585964025,2414646
2005-08-04,116.61550903320312,117.5307775332267,110.32410266857339,110.32410266857339,3518937
2005-08-05,114.10493469238281,117.18863151035251,113.33937006288858,116.76093448874389,2275614
2005-08-08,112.13751983642578,115.10999526598621,109.34894386525261,115.10999526598621,2246679
2005-08-09,113.37787628173828,113.76707841843046,111.2864492862494,112.1375675891558,1402038
2005-08-10,113.25379943847656,115.007346207745,112.91164425781469,113.3393411703947,1617408
2005-08-11,115.16560363769531,115.73444095026474,112.99718743830803,113.68150962655626,1575297
2005-08-12,114.63260650634766,116.04525633353204,113.96528945175807,116.04525633353204,911313
2005-08-16,115.04427337646484,116.4785843005779,113.61862689811909,115.68126486260705,1091430
2005-08-17,114.0822982788086,115.25661649033407,113.01197723487859,114.83196337293806,2155059
2005-08-18,113.99562072753906,119.58988951685164,113.53196573460177,115.4386080893406,2014803
2005-08-19,115.50794219970703,116.04526882057434,114.39863117074479,114.39863117074479,1062567
2005-08-22,114.84062194824219,118.10791572028286,114.49396077341083,116.55659892925672,1279944
2005-08-23,110.68499755859375,115.94560207343685,110.07401124766899,115.5252811961457,1697850
2005-08-24,111.83331298828125,112.92529501488534,110.49866696668609,110.67199159070174,2983905
2005-08-25,115.01827239990234,116.47858861714622,111.7986451650951,112.05864995801682,2144169
2005-08-26,114.96192932128906,115.95859045096088,106.59002819957156,115.26525631225903,1643355
2005-08-29,115.46458435058594,116.5652305932466,114.39859588446271,115.95857668333397,1718964
2005-08-30,116.35723876953125,118.89653984306432,115.26524504637497,116.55656859564128,2232072
2005-08-31,115.62060546875,116.30526332980843,113.8786233532552,115.69859738481432,1761813
2005-09-01,115.845947265625,117.17194097036483,115.17863009125367,116.04527716336476,2692566
2005-09-02,113.73561096191406,116.56524256143055,113.41494318405591,115.95858858923053,3258117
2005-09-05,114.93592071533203,115.65523619224395,113.88726115229703,115.15257942246504,1121103
2005-09-06,113.69664001464844,115.51662623021045,112.79532325596399,115.09196119301753,798498
2005-09-08,115.11360168457031,115.49926473771988,113.6186277274626,114.3986182795923,1425843
2005-09-09,115.85023498535156,116.91189122536466,114.83192476926313,115.26524218800257,1648179
2005-09-12,115.36491394042969,117.42323131005753,114.65859508035479,115.85024185597807,1395963
2005-09-13,114.73662567138672,116.13193482805087,114.09963412123298,116.13193482805087,1764405
2005-09-14,114.50260925292969,116.13191773760603,114.008616850138,116.13191773760603,902043
2005-09-15,114.44628143310547,114.83194447547073,113.96961790864155,114.82760035096564,1030302
2005-09-16,117.89556884765625,118.2985726998319,114.65861277159182,114.8319492974796,2419299
2005-09-19,119.69823455810547,121.33188755926719,118.29859304817106,118.29859304817106,1195407
2005-09-20,122.02953338623047,123.23852125994588,119.5985609685749,120.46521988105076,2494035
2005-09-21,121.11952209472656,122.02517079247335,119.1825426448239,121.76517794412422,2145771
2005-09-22,118.64955139160156,123.49848657124427,116.75157379619442,121.59184453095713,2304207
2005-09-23,118.9702377319336,121.27988416605454,116.73860702684317,120.41755744886503,1974699
2005-09-26,123.06082916259766,124.26981680710448,119.55520416664177,120.89852641647389,1769949
2005-09-27,125.0021743774414,125.66083901073374,123.06953842015923,124.19185810963259,1764909
2005-09-28,127.89675903320312,129.10140235837207,124.10513655014047,125.6651172835872,1641546
2005-09-29,133.79002380371094,136.65432498769667,125.84712023040521,125.84712023040521,5385123
2005-09-30,131.64073181152344,138.578322498555,130.8650734985246,138.578322498555,2342493
2005-10-03,132.0090789794922,133.68172181290203,131.64507701264333,131.64507701264333,1175652
2005-10-04,133.38272094726562,136.49835103354863,132.00907299081962,132.00907299081962,2360655
2005-10-05,133.4563751220703,135.02502051808884,132.5983808383148,134.19303147098205,1677240
2005-10-06,131.22903442382812,133.2916717157309,130.25837878017802,133.2916717157309,1355850
2005-10-07,129.73838806152344,131.81836624966138,127.74507811074707,131.03837591682316,2078055
2005-10-10,128.78076171875,131.2983899183138,128.00943570481692,131.21173356867413,1266723
2005-10-11,129.4091033935547,129.98108773369592,127.83178150557167,129.3050943390905,796995
2005-10-13,128.1047821044922,129.4004261840959,127.57178777390031,129.13176885822557,1163880
2005-10-14,122.75318145751953,128.26511399811645,121.76519658086737,128.26511399811645,2742822
2005-10-17,122.0598373413086,123.93180960481519,120.30052665891125,122.37182875132322,2054088
2005-10-18,124.0748291015625,126.35846996778979,121.85619538275583,122.71851007555462,2449341
2005-10-19,119.7198715209961,123.93181525682989,119.26486915017058,123.84514700508122,1650420
2005-10-20,117.0592041015625,122.97847050193818,112.49193591829017,122.45847301869952,3079647
2005-10-21,114.95759582519531,118.47188522303863,113.09862009331484,116.5652431415789,2323008
2005-10-24,112.63496398925781,116.99858364992694,111.43465259213639,116.56525423992225,1903257
2005-10-25,116.69090270996094,117.86522055102314,113.53193915853016,113.53193915853016,2247777
2005-10-26,117.6832046508789,118.64519587790885,116.17522258478331,117.34520805494157,1024470
2005-10-27,116.90325164794922,120.29188313200765,115.7852643817594,117.6052383934052,2872152
2005-10-28,116.51322937011719,118.7275303728608,114.74525434549702,117.8652158721014,4160844
2005-10-31,121.22354888916016,123.93184310198417,114.83196026484038,116.97259039304812,2421702
2005-11-02,130.67010498046875,131.2984321522983,122.19854847452902,123.90586120777247,3280086
2005-11-04,130.67010498046875,130.67010498046875,130.67010498046875,130.67010498046875,0
2005-11-07,131.5844268798828,131.7317581900182,123.06519233237437,123.06519233237437,2464587
2005-11-08,133.98934936523438,134.33167820269165,130.43605863028375,131.29837310583542,4463991
2005-11-09,133.54306030273438,135.62303932038046,130.9647565740863,134.24505902327488,2594952
